T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_052_S_0989_MR_Axial_PD_T2_FSE__br_raw_20061114142638656_1_S22475_I29524.nii.gzConfidences: 32.52, 48.10, 19.38
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_127_S_1427_MR_Axial_PD_T2_FSE__br_raw_20080221185046344_19_S46019_I91509.nii.gzConfidences: 34.51, 46.20, 19.29
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_005_S_0221_MR_Axial_PD_T2_FSE__br_raw_20060303140730789_109_S11955_I11603.nii.gzConfidences: 39.70, 42.55, 17.75
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_053_S_0919_MR_Axial_PD_T2_FSE__br_raw_20070508122048428_1_S31891_I53771.nii.gzConfidences:  1.80, 97.58,  0.61
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_002_S_0816_MR_Axial_PD_T2_FSE__br_raw_20060831015915155_1_S18408_I23603.nii.gzConfidences: 18.82, 71.98,  9.19
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_033_S_0922_MR_Axial_PD_T2_FSE__br_raw_20071016100149554_109_S41526_I77848.nii.gzConfidences: 42.57, 52.91,  4.52
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_007_S_0128_MR_Axial_PD_T2_FSE__br_raw_20060815202411132_9_S17901_I20614.nii.gzConfidences: 21.41, 65.06, 13.53
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_053_S_1044_MR_Axial_PD_T2_FSE__br_raw_20061027160700663_1_S21254_I27781.nii.gzConfidences:  0.08, 97.48,  2.44
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_130_S_0102_MR_Axial_PD_T2_FSE__br_raw_20060802140510683_1_S17520_I20067.nii.gzConfidences:  1.76, 96.75,  1.50
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_006_S_0484_MR_Axial_PD_T2_FSE__br_raw_20060622091006656_95_S15772_I17375.nii.gzConfidences: 20.08, 74.47,  5.45
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_130_S_0285_MR_Axial_PD_T2_FSE__br_raw_20100416163045147_87_S83438_I171253.nii.gzConfidences: 42.45, 52.46,  5.08
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_027_S_0256_MR_Axial_PD_T2_FSE__br_raw_20061009142516384_23_S19865_I25971.nii.gzConfidences:  1.43, 97.81,  0.76
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_007_S_0128_MR_Axial_PD_T2_FSE__br_raw_20070216001752401_1_S26560_I40475.nii.gzConfidences: 48.01, 48.42,  3.57
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_029_S_0999_MR_Axial_PD_T2_FSE__br_raw_20061201100622693_1_S23247_I31237.nii.gzConfidences:  7.25, 87.39,  5.36
T2        	/home/sam/phinet/data/adni_holdout/preprocess/T1/ADNI_067_S_1185_MR_MPRAGE_br_raw_20070123155949189_63_S25394_I37256.nii.gzConfidences:  4.89, 24.81, 70.29
PD        	/home/sam/phinet/data/adni_holdout/preprocess/T2/ADNI_007_S_4467_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20140204101256208_39_S211809_I412525.nii.gzConfidences: 68.34,  0.01, 31.66
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_127_S_0754_MR_Axial_PD_T2_FSE__br_raw_20060905144630794_1_S18514_I23786.nii.gzConfidences: 11.72, 82.13,  6.15
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_126_S_0606_MR_Axial_PD_T2_FSE__br_raw_20140715135053656_21_S225098_I435640.nii.gzConfidences: 20.92, 69.23,  9.85
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_052_S_1054_MR_Axial_PD_T2_FSE__br_raw_20061128113129125_1_S22953_I30579.nii.gzConfidences: 13.68, 83.08,  3.23
T2        	/home/sam/phinet/data/adni_holdout/preprocess/T1/ADNI_037_S_4028_MR_MPRAGE_br_raw_20110425125155063_168_S105075_I228854.nii.gzConfidences:  0.07,  9.03, 90.90
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_005_S_0221_MR_Axial_PD_T2_FSE__br_raw_20080424162928270_1_S49278_I103933.nii.gzConfidences: 35.33, 51.47, 13.20
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_094_S_1330_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20080401121240233_1_S47765_I100019.nii.gzConfidences:  0.56, 98.73,  0.72
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_033_S_1283_MR_Axial_PD_T2_FSE__br_raw_20080313154325368_1_S47017_I97384.nii.gzConfidences: 45.13, 50.17,  4.70
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_127_S_1427_MR_Axial_PD_T2_FSE__br_raw_20070821105852680_1_S37932_I69354.nii.gzConfidences: 29.53, 65.10,  5.37
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_006_S_0521_MR_Axial_PD_T2_FSE__br_raw_20060627144055906_1_S15874_I17533.nii.gzConfidences: 34.37, 47.28, 18.35
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_127_S_1382_MR_Axial_PD_T2_FSE__br_raw_20080425135406486_1_S49317_I103997.nii.gzConfidences:  0.58, 97.36,  2.06
T2        	/home/sam/phinet/data/adni_holdout/preprocess/T1/ADNI_033_S_0733_MR_MPRAGE_br_raw_20070814121736400_98_S37309_I67598.nii.gzConfidences:  0.19, 40.76, 59.05
T2        	/home/sam/phinet/data/adni_holdout/preprocess/T1/ADNI_014_S_4079_MR_MPRAGE_br_raw_20110922132000457_26_S123018_I257454.nii.gzConfidences:  0.09, 46.05, 53.86
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_007_S_0128_MR_Axial_PD_T2_FSE__br_raw_20100224153948222_77_S80420_I166749.nii.gzConfidences:  6.33, 86.29,  7.38
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_002_S_1280_MR_Axial_PD_T2_FSE__br_raw_20070213212826831_1_S26451_I40081.nii.gzConfidences: 39.26, 48.08, 12.66
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_127_S_1382_MR_Axial_PD_T2_FSE__br_raw_20080425135341767_1_S49318_I103998.nii.gzConfidences:  5.90, 90.94,  3.16
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_130_S_0285_MR_Axial_PD_T2_FSE__br_raw_20100416163114669_95_S83435_I171250.nii.gzConfidences: 40.33, 41.18, 18.49
