T1        	/home/sam/phinet/data/test/preprocess/T1/1279_2a_MR_T1.nii.gzConfidences:  0.16, 97.18,  2.66
T1        	/home/sam/phinet/data/test/preprocess/T1/1457_1a_MR_T1.nii.gzConfidences:  0.41, 96.17,  3.42
T2        	/home/sam/phinet/data/test/preprocess/T2/1570_01.nii.gzConfidences:  4.39, 35.06, 60.55
T2        	/home/sam/phinet/data/test/preprocess/T2/1550_01.nii.gzConfidences:  3.93, 17.52, 78.55
T2        	/home/sam/phinet/data/test/preprocess/T2/1153_90d_MR_0004_3DT2SPACET2_SPC_SAG_P2_ISO_reg.nii.gzConfidences:  3.12,  1.26, 95.62
T2        	/home/sam/phinet/data/test/preprocess/T2/1546_01.nii.gzConfidences:  1.02, 10.49, 88.49
T1        	/home/sam/phinet/data/test/preprocess/T1/1182_2a_MR_T1.nii.gzConfidences:  0.24, 96.15,  3.61
T1        	/home/sam/phinet/data/test/preprocess/T1/1477_1a_MR_T1.nii.gzConfidences:  2.52, 82.41, 15.07
T1        	/home/sam/phinet/data/test/preprocess/T1/1253_90d_MR_T1.nii.gzConfidences:  0.20, 96.88,  2.91
T1        	/home/sam/phinet/data/test/preprocess/T1/1531_1a_MR_T1.nii.gzConfidences:  0.52, 97.00,  2.48
T2        	/home/sam/phinet/data/test/preprocess/T2/1587_01.nii.gzConfidences:  3.72, 21.69, 74.59
T2        	/home/sam/phinet/data/test/preprocess/T2/1504_02.nii.gzConfidences:  2.65, 37.59, 59.76
T2        	/home/sam/phinet/data/test/preprocess/T2/1592_01.nii.gzConfidences:  1.53, 42.53, 55.94
T1        	/home/sam/phinet/data/test/preprocess/T1/06-3784_2014-03-29_MR_MPRAGE.nii.gzConfidences:  0.27, 80.94, 18.79
T2        	/home/sam/phinet/data/test/preprocess/T2/2024_01_T2.nii.gzConfidences:  0.66, 16.48, 82.86
T2        	/home/sam/phinet/data/test/preprocess/T2/1588_01.nii.gzConfidences:  4.14, 31.77, 64.09
T2        	/home/sam/phinet/data/test/preprocess/T2/1559_02.nii.gzConfidences:  1.90, 20.40, 77.70
